Approver Name,Approved Count,Approved Amount,Rejected Count,Rejected Proposed Amount
Betgari Regional Manager,162,38380000,11,2220000
Atrai Regional Manager,159,30952000,9,1270000
Mohadebpur Regional Manager,148,33875000,12,920000
Regional Manager Naogaon,142,27800000,25,5915000
Sapahar Regional Manager,136,21255000,15,1990000
Rajbari Regional Manager,127,20370000,8,750000
Adamdighi Regional Manager,112,18225000,12,1910000
Paharpur Regional Manager,107,22524000,10,1790000
Zonal Manager Raninagar,106,66680100,13,9250000
Zonal Manager Shishahat,84,56400000,17,15300000
Zonal Manager Badalgachi,77,57460000,5,3300000
Director Microfinance,54,90300000,5,9900000
Chanpara Regional Manager,50,9844000,4,1300000
Assistant Director Microfinance,30,47500000,9,10000000
Executive Director,0,0,0,0
